OBJECTID,RS,AGS,SDV_RS,GEN,BEZ,IBZ,BEM,NBD,SN_L,SN_R,SN_K,SN_V1,SN_V2,SN_G,FK_S3,NUTS,EWZ,KFL,SHAPE_Length,SHAPE_Area
1,010010000000,01001000,010010000000,Flensburg,Stadt,60,kreisfrei,ja,01,0,01,00,00,000,R,DEF01,87432,56.74,0.524664164086305,0.00687292167079005
2,010020000000,01002000,010020000000,Kiel,Stadt,60,kreisfrei,ja,01,0,02,00,00,000,R,DEF02,247441,118.65,1.256151345328,0.01550127764074
3,010030000000,01003000,010030000000,Lübeck,Stadt,60,kreisfrei,ja,01,0,03,00,00,000,R,DEF03,216712,214.21,1.83635794661935,0.0289329511079278
4,010040000000,01004000,010040000000,Neumünster,Stadt,60,kreisfrei,ja,01,0,04,00,00,000,R,DEF04,79680,71.63,0.663586785350998,0.00981020053791895
5,010510011011,01051011,010510011011,Brunsbüttel,Stadt,61,--,ja,01,0,51,00,11,011,R,DEF05,12801,65.2,0.518502172464644,0.00673630304378178
6,010510044044,01051044,010510044044,Heide,Stadt,61,--,ja,01,0,51,00,44,044,R,DEF05,21529,31.97,0.461048015034128,0.00437785521945939
7,010515163003,01051003,010515163003,Averlak,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,003,R,DEF05,576,9.07,0.182787888068035,0.00123481356495718
8,010515163010,01051010,010515163010,Brickeln,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,010,R,DEF05,220,6.07,0.182627384587432,0.000830472730713544
9,010515163012,01051012,010515163012,Buchholz,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,012,R,DEF05,1005,14.56,0.265146298039961,0.00199725339826524
10,010515163016,01051016,010515163016,Burg (Dithmarschen),Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,016,R,DEF05,4128,11.23,0.213040587988373,0.00155411229513941
11,010515163022,01051022,010515163022,Dingen,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,022,R,DEF05,620,7.02,0.219919767933219,0.000931390310536639
12,010515163024,01051024,010515163024,Eddelak,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,024,R,DEF05,1363,9.21,0.208428921360879,0.00129176842334032
13,010515163026,01051026,010515163026,Eggstedt,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,026,R,DEF05,760,12.79,0.170350465844125,0.00175579506790072
14,010515163032,01051032,010515163032,Frestedt,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,032,R,DEF05,360,10.33,0.197752809745395,0.00141268123735111
15,010515163037,01051037,010515163037,Großenrade,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,037,R,DEF05,477,10.4,0.206640038828816,0.00141114998860247
16,010515163051,01051051,010515163051,Hochdonn,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,051,R,DEF05,1151,5.46,0.145254985523501,0.000746264523616895
17,010515163064,01051064,010515163064,Kuden,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,064,R,DEF05,611,11.37,0.247746142821467,0.00155739579270897
18,010515163089,01051089,010515163089,Quickborn,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,089,R,DEF05,179,6.95,0.200519440650114,0.000952814550979045
19,010515163097,01051097,010515163097,Sankt Michaelisdonn,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,097,R,DEF05,3420,23.07,0.331104948984377,0.00316228807281734
20,010515163110,01051110,010515163110,Süderhastedt,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,110,R,DEF05,836,15.74,0.248775532016854,0.00214251707678788
21,010515166021,01051021,010515166021,Diekhusen-Fahrstedt,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,021,R,DEF05,730,7.46,0.192747687118252,0.00102963387477378
22,010515166034,01051034,010515166034,Friedrichskoog,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,034,R,DEF05,2541,53.35,0.606225757969943,0.00865754174533514
